date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260128,PE,25300,2026-01-28 12:25:00.567000+05:30,2026-01-28 13:44:51.530000+05:30,206.7,247.9,247.9,65,2678.0,84.22,2593.78,DPT,2026-01
20260130,CE,25250,2026-01-30 12:24:00.647000+05:30,2026-01-30 13:10:00.257000+05:30,235.75,205.95,244.45,65,-1937.0,79.83,-2016.83,Flip,2026-01
20260130,CE,25250,2026-01-30 13:43:00.390000+05:30,2026-01-30 14:44:00.551000+05:30,231.95,230.2,289.55,65,-113.75,82.75,-196.5,Flip,2026-01
20260130,PE,25250,2026-01-30 14:44:00.551000+05:30,2026-01-30 15:12:00.436000+05:30,176.6,147.8,179.75,65,-1872.0,70.83,-1942.83,Flip,2026-01
20260201,PE,25300,2026-02-01 11:46:00.440000+05:30,2026-02-01 12:15:25.190000+05:30,188.15,228.0,228.0,65,2590.25,81.19,2509.06,DPT,2026-02
20260202,CE,24750,2026-02-02 11:33:00.971000+05:30,2026-02-02 11:39:54.770000+05:30,140.95,181.15,181.15,65,2613.0,73.95,2539.05,DPT,2026-02
20260202,PE,24750,2026-02-02 13:21:00.834000+05:30,2026-02-02 13:43:00.162000+05:30,67.0,43.7,76.3,65,-1514.5,54.62,-1569.12,Flip,2026-02
20260203,CE,25800,2026-02-03 13:45:00.875000+05:30,2026-02-03 14:49:00.619000+05:30,54.75,13.0,62.1,65,-2713.75,50.43,-2764.18,Flip,2026-02
20260203,PE,25800,2026-02-03 12:30:00.752000+05:30,2026-02-03 13:47:00.643000+05:30,78.85,39.55,106.3,65,-2554.5,54.45,-2608.95,Flip,2026-02
20260203,PE,25800,2026-02-03 14:33:00.441000+05:30,2026-02-03 15:25:59.834000+05:30,78.35,72.85,104.6,65,-357.5,58.59,-416.09,EOD,2026-02
20260204,CE,25650,2026-02-04 13:25:00.264000+05:30,2026-02-04 14:17:18.680000+05:30,229.85,269.7,269.7,65,2590.25,87.62,2502.63,DPT,2026-02
20260204,PE,25650,2026-02-04 15:08:00.672000+05:30,2026-02-04 15:25:59.556000+05:30,97.2,108.8,110.1,65,754.0,63.64,690.36,EOD,2026-02
20260205,CE,25700,2026-02-05 14:56:00.426000+05:30,2026-02-05 15:25:58.959000+05:30,114.75,113.5,129.85,65,-81.25,64.74,-145.99,EOD,2026-02
20260205,PE,25700,2026-02-05 12:18:01.098000+05:30,2026-02-05 14:56:00.425000+05:30,171.45,154.75,191.95,65,-1085.5,71.55,-1157.05,Flip,2026-02
20260206,CE,25600,2026-02-06 11:11:00.840000+05:30,2026-02-06 11:38:58.067000+05:30,94.95,134.65,134.65,65,2580.5,66.8,2513.7,DPT,2026-02
20260206,PE,25600,2026-02-06 12:22:00.484000+05:30,2026-02-06 13:39:00.265000+05:30,111.85,106.6,138.6,65,-341.25,63.79,-405.04,Flip,2026-02
20260209,CE,25850,2026-02-09 14:24:00.135000+05:30,2026-02-09 15:25:59.839000+05:30,79.5,74.55,84.45,65,-321.75,58.84,-380.59,EOD,2026-02
20260209,PE,25850,2026-02-09 11:55:00.188000+05:30,2026-02-09 13:10:00.064000+05:30,78.05,65.8,86.0,65,-796.25,57.7,-853.95,Flip,2026-02
20260210,CE,25900,2026-02-10 12:48:00.684000+05:30,2026-02-10 13:19:00.391000+05:30,77.95,65.0,96.0,65,-841.75,57.6,-899.35,Flip,2026-02
20260210,CE,25900,2026-02-10 15:02:00.206000+05:30,2026-02-10 15:25:59.759000+05:30,61.0,33.9,63.6,65,-1761.5,53.22,-1814.72,EOD,2026-02
20260211,CE,26000,2026-02-11 10:40:00.363000+05:30,2026-02-11 11:09:00.411000+05:30,127.05,108.7,129.6,65,-1192.75,64.5,-1257.25,Flip,2026-02
20260211,CE,26000,2026-02-11 13:39:00.719000+05:30,2026-02-11 13:52:00.751000+05:30,106.6,94.1,113.4,65,-812.5,62.08,-874.58,Flip,2026-02
20260211,CE,26000,2026-02-11 14:19:00.181000+05:30,2026-02-11 15:25:59.463000+05:30,109.8,105.55,112.45,65,-276.25,63.6,-339.85,EOD,2026-02
20260211,PE,26000,2026-02-11 12:25:00.163000+05:30,2026-02-11 13:42:00.191000+05:30,136.0,122.2,159.2,65,-897.0,66.45,-963.45,Flip,2026-02
20260212,CE,25900,2026-02-12 12:54:00.379000+05:30,2026-02-12 13:13:00.286000+05:30,96.1,87.25,98.4,65,-575.25,60.91,-636.16,Flip,2026-02
20260212,CE,25900,2026-02-12 13:26:00.741000+05:30,2026-02-12 13:50:00.596000+05:30,98.9,83.75,103.3,65,-984.75,60.56,-1045.31,Flip,2026-02
20260212,CE,25900,2026-02-12 15:04:00.094000+05:30,2026-02-12 15:25:59.998000+05:30,83.05,78.2,84.0,65,-315.25,59.4,-374.65,EOD,2026-02
20260212,PE,25900,2026-02-12 11:23:00.737000+05:30,2026-02-12 12:33:01.250000+05:30,129.05,119.55,142.0,65,-617.5,65.91,-683.41,Flip,2026-02
20260212,PE,25900,2026-02-12 13:15:00.271000+05:30,2026-02-12 13:19:00.052000+05:30,129.25,111.3,131.6,65,-1166.75,64.89,-1231.64,Flip,2026-02
20260212,PE,25900,2026-02-12 13:50:00.697000+05:30,2026-02-12 15:04:00.095000+05:30,129.2,134.05,179.6,65,315.25,67.73,247.52,Flip,2026-02
20260213,CE,25600,2026-02-13 12:07:00.054000+05:30,2026-02-13 13:02:00.455000+05:30,93.95,83.9,112.7,65,-653.25,60.43,-713.68,Flip,2026-02
20260213,PE,25600,2026-02-13 13:03:00.350000+05:30,2026-02-13 15:00:56.262000+05:30,118.2,160.45,160.45,65,2746.25,70.7,2675.55,DPT,2026-02
20260216,CE,25450,2026-02-16 12:11:00.372000+05:30,2026-02-16 14:28:15.502000+05:30,148.25,188.7,188.7,65,2629.25,75.11,2554.14,DPT,2026-02
20260217,CE,25600,2026-02-17 11:33:00.592000+05:30,2026-02-17 11:38:03.405000+05:30,117.2,158.2,158.2,65,2665.0,70.39,2594.61,DPT,2026-02
20260218,CE,25700,2026-02-18 11:35:00.343000+05:30,2026-02-18 14:19:53.788000+05:30,151.8,192.2,192.2,65,2626.0,75.65,2550.35,DPT,2026-02
20260220,CE,25450,2026-02-20 14:18:00.848000+05:30,2026-02-20 15:08:00.057000+05:30,253.1,212.85,284.6,65,-2616.25,81.2,-2697.45,Flip,2026-02
20260220,PE,25450,2026-02-20 12:45:00.757000+05:30,2026-02-20 14:17:00.683000+05:30,69.7,64.9,100.75,65,-312.0,57.35,-369.35,Flip,2026-02
20260220,PE,25450,2026-02-20 15:06:01.248000+05:30,2026-02-20 15:25:59.973000+05:30,76.3,78.9,91.0,65,169.0,59.29,109.71,EOD,2026-02
20260223,CE,25650,2026-02-23 14:30:00.185000+05:30,2026-02-23 15:25:59.763000+05:30,102.65,116.0,130.65,65,867.75,64.69,803.06,EOD,2026-02
20260224,PE,25600,2026-02-24 12:00:00.657000+05:30,2026-02-24 12:23:56.595000+05:30,141.45,181.2,181.2,65,2583.75,73.97,2509.78,DPT,2026-02
20260225,CE,25550,2026-02-25 14:20:00.407000+05:30,2026-02-25 15:25:59.648000+05:30,127.1,126.9,134.35,65,-13.0,66.77,-79.77,EOD,2026-02
20260225,PE,25550,2026-02-25 11:24:00.683000+05:30,2026-02-25 12:35:20.915000+05:30,100.95,140.75,140.75,65,2587.0,67.74,2519.26,DPT,2026-02
20260226,CE,25550,2026-02-26 11:26:00.386000+05:30,2026-02-26 11:39:00.010000+05:30,141.3,111.6,148.2,65,-1930.5,65.28,-1995.78,Flip,2026-02
20260226,CE,25550,2026-02-26 14:37:00.948000+05:30,2026-02-26 15:25:59.740000+05:30,87.85,100.6,112.75,65,828.75,62.34,766.41,EOD,2026-02
20260226,PE,25550,2026-02-26 11:40:00.101000+05:30,2026-02-26 12:20:09.658000+05:30,134.85,174.7,174.7,65,2590.25,72.97,2517.28,DPT,2026-02
20260227,CE,25400,2026-02-27 13:56:00.787000+05:30,2026-02-27 14:33:00.885000+05:30,77.4,56.85,83.25,65,-1335.75,56.57,-1392.32,Flip,2026-02
20260227,PE,25400,2026-02-27 15:01:00.481000+05:30,2026-02-27 15:04:18.771000+05:30,194.95,235.65,235.65,65,2645.5,82.34,2563.16,DPT,2026-02
20260304,CE,24400,2026-03-04 13:01:00.747000+05:30,2026-03-04 13:26:40.165000+05:30,326.95,367.05,367.05,65,2606.5,102.62,2503.88,DPT,2026-03
